Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
25-Dec-12,7750,7775,7750,7755,0,7.26,3.31399097,13.77410468,-,-,1322.574936
26-Dec-12,7750,7775,7750,7755,0,7.26,3.31399097,13.77410468,-,-,1322.574936
27-Dec-12,7830,7900,7830,7900,154147,7.127,3.25316455,14.03114915,23,12104357,1347.303932
28-Dec-12,7900,7980,7900,7980,32602,7.055,3.22055137,14.17434444,67,3620012,1360.947516
31-Dec-12,7980,7980,7980,7980,1711,7.055,3.22055137,14.17434444,4,136537,1360.947516
1-Jan-13,7980,7980,7980,7980,0,7.055,3.220551,14.17434444,-,-,1360.947516
2-Jan-13,8000,8000,7901,7995,35741,7.042,3.21450906,14.20051122,44,2950647,1363.505688
3-Jan-13,8000,8195,7990,8190,73329,6.874,3.13797313,14.54757056,248,7965613,1396.761924
4-Jan-13,8187,8477,8150,8440,339956,6.671,3.04502369,14.99025633,370,36045889,1439.398124
7-Jan-13,8109,8617,8109,8585,49040,6.558,2.99359347,15.24855139,169,5835044,1464.12712
8-Jan-13,8585,8900,8400,8644,74728,6.513,2.97316057,15.35390757,205,7009719,1474.189263
9-Jan-13,8700,8700,8481,8624,107803,6.528,2.98005565,15.31862745,235,12036072,1470.778367
10-Jan-13,8600,8600,8378,8440,139839,6.671,3.04502369,14.99025633,249,13160316,1439.398124
11-Jan-13,8457,8690,8389,8614,249654,6.536,2.9835152,15.2998776,473,24284896,1469.072919
14-Jan-13,8505,8685,8443,8685,50528,6.482,2.95912492,15.42733724,148,6121841,1481.1816
15-Jan-13,8474,8685,8343,8397,46797,6.705,3.06061688,14.9142431,162,11066910,1432.064697
16-Jan-13,8570,8648,8310,8400,70409,6.702,3.0595238,14.92091913,239,6859428,1432.576331
17-Jan-13,8522,8522,8422,8460,53952,6.655,3.03782505,15.02629602,129,5436203,1442.809019
18-Jan-13,8518,8650,8432,8650,72553,6.509,2.97109826,15.36334306,203,7794134,1475.212531
21-Jan-13,8699,8699,8425,8526,106950,6.603,3.01430917,15.14463123,273,11152017,1454.064976
22-Jan-13,8580,8679,8500,8536,21449,6.596,3.01077788,15.16070346,61,2702528,1455.770424
23-Jan-13,8680,8699,8528,8600,382011,6.547,2.98837209,15.27417138,284,34710684,1466.685291
24-Jan-13,8600,8675,8600,8675,44487,6.49,2.96253602,15.40832049,75,4048512,1479.476151
25-Jan-13,8675,8751,8655,8751,16946,6.434,2.93680722,15.54243084,32,1957722,1492.437556
28-Jan-13,8770,8948,8759,8783,29358,6.41,2.92610725,15.60062402,68,2873608,1497.89499
29-Jan-13,8783,8783,8700,8700,12351,6.471,2.95402298,15.45356205,23,2242562,1483.739771
30-Jan-13,8700,8868,8649,8650,329231,6.509,2.97109826,15.36334306,259,33409524,1475.212531
31-Jan-13,8465,8670,8465,8524,69955,6.605,3.01501642,15.14004542,188,7257356,1453.723886
1-Feb-13,8524,8550,8511,8540,24436,6.593,3.00936768,15.167602,137,2399852,1456.452603
4-Feb-13,8734,8750,8505,8532,15346,6.599,3.0121894,15.15381118,57,83567572,1455.088245
5-Feb-13,8580,8699,8505,8646,20448,6.512,2.97247281,15.35626536,79,2414298,1474.530352
6-Feb-13,8700,8700,8507,8561,22130,6.576,3.00198574,15.20681265,108,2699940,1460.034044
7-Feb-13,8561,8598,8423,8475,55636,6.643,3.03244837,15.05343971,162,7966105,1445.367191
8-Feb-13,8427,8690,8423,8500,85230,6.624,3.02352941,15.09661836,235,9010269,1449.630811
11-Feb-13,8504,8505,8451,8474,1791,6.644,3.03280623,15.05117399,11,176432,1445.196646
12-Feb-13,8450,8699,8410,8600,104534,6.547,2.98837209,15.27417138,246,10290103,1466.685291
13-Feb-13,8700,9000,8699,9000,470596,6.256,2.85555555,15.98465473,98,41374974,1534.903212
14-Feb-13,8801,9348,8800,9279,173411,6.067,2.76969501,16.48261085,369,18300901,1582.485212
15-Feb-13,9400,9400,9199,9263,84170,6.078,2.77447911,16.45278052,133,8510131,1579.756495
18-Feb-13,9100,9200,9006,9031,61962,6.234,2.84575351,16.04106513,122,5689024,1540.190101
19-Feb-13,9089,9094,8904,8952,71319,6.289,2.87086684,15.90077914,156,8018206,1526.717062
20-Feb-13,9000,9137,8904,8952,201426,6.289,2.87086684,15.90077914,407,22882899,1526.717062
21-Feb-13,9000,9000,8879,8900,190161,6.326,2.88764044,15.80777743,106,19422605,1517.848732
22-Feb-13,8900,9100,8756,9050,429658,6.221,2.839779,16.07458608,401,47462016,1543.430452
25-Feb-13,9098,9100,8891,8949,108843,6.291,2.87182925,15.89572405,256,11245008,1526.205427
26-Feb-13,8949,9503,8949,9405,448070,5.816,2.7963849,17.19394773,443,58621143,1603.973856
27-Feb-13,9437,9521,9400,9494,153838,5.762,2.77017063,17.35508504,473,20833879,1619.152343
28-Feb-13,9300,9550,9300,9500,165619,5.758,2.76842105,17.36714137,291,34491510,1620.175612
1-Mar-13,9523,9651,9500,9650,109681,5.668,2.7253886,17.64290755,139,34521534,1645.757332
4-Mar-13,9650,10018,9628,9750,151927,5.61,2.69743589,17.82531194,212,15510078,1662.811812
5-Mar-13,9751,10040,9696,9850,199444,5.553,2.67005076,18.00828381,737,21608479,1679.866292
6-Mar-13,9855,10000,9850,9910,155304,5.52,2.65388496,18.11594203,412,17570615,1690.09898
7-Mar-13,9901,10299,9901,10299,251259,5.311,2.55364598,18.82884579,499,31398506,1756.440908
8-Mar-13,10000,10154,9980,10034,224078,5.451,2.62108829,18.34525775,302,27322548,1711.246536
11-Mar-13,9864,10050,9864,10050,83755,7.871,3.13432835,12.70486596,289,8386862,1713.975253
12-Mar-13,9446,10049,9073,9999,58774,5.471,2.63026302,18.27819411,286,6537543,1705.277468
13-Mar-13,10000,10043,9902,10023,70965,5.457,2.62396488,18.32508704,319,10988050,1709.370543
14-Mar-13,10040,10050,9902,10050,44335,5.443,2.61691542,18.3722212,176,6228877,1713.975253
15-Mar-13,10045,10181,9999,10028,182066,5.455,2.62265656,18.33180568,434,25651726,1710.223267
18-Mar-13,10003,10195,10003,10020,102838,5.459,2.62475049,18.31837333,215,13496333,1708.858909
19-Mar-13,10020,10199,9900,9950,55796,5.497,2.64321608,18.19174095,196,10066325,1696.920773
20-Mar-13,9950,10199,9824,10040,330568,5.448,2.61952191,18.35535977,444,58666782,1712.269805
21-Mar-13,10040,10040,10040,10040,0,5.448,2.619522,18.35535977,-,-,1712.27
22-Mar-13,10041,10500,9806,10256,110798,5.333,2.56435257,18.75117195,452,15231719,1749.107681
25-Mar-13,9925,10499,9900,10342,85468,5.289,2.54302842,18.90716582,299,11780544,1763.774536
26-Mar-13,10250,10500,10013,10300,138552,5.311,2.55339805,18.82884579,280,42489491,1756.611654
27-Mar-13,10433,10495,10229,10250,45023,5.337,2.56585365,18.73711823,184,10764455,1748.084413
28-Mar-13,10100,10315,10100,10204,96349,5.361,2.57742061,18.65323634,349,70665780,1740.239351
29-Mar-13,10204,10204,10204,10204,0,5.361,2.577421,18.65323634,-,-,1740.239351
1-Apr-13,10204,10204,10204,10204,0,5.361,2.577421,18.65323634,-,-,1740.239351
2-Apr-13,10221,10500,10221,10440,55953,5.239,2.51915708,19.08761214,235,7424017,1780.487929
3-Apr-13,10300,10440,10063,10353,70991,5.283,2.54032647,18.92863903,314,8116835,1765.65053
4-Apr-13,10146,10401,10101,10375,55289,5.272,2.53493975,18.96813354,176,10897469,1769.402516
5-Apr-13,10200,10395,10100,10270,54911,5.326,2.56085686,18.77581675,212,75523390,1751.49531
8-Apr-13,10360,10363,9348,9825,65294,5.567,2.67684478,17.96299623,317,7810478,1707.153657
9-Apr-13,10050,10150,9600,10038,132977,5.449,2.62004383,18.35199119,663,18284033,1744.163706
10-Apr-13,9950,10201,9950,10135,121027,5.397,2.59496793,18.5288123,339,14122713,1761.018047
11-Apr-13,10135,10300,9750,10070,317363,5.432,2.61171797,18.40942563,320,41256640,1749.723901
12-Apr-13,9949,10101,9949,10070,25248,5.432,2.61171797,18.40942563,87,2745046,1749.723901
15-Apr-13,9900,10119,9836,9950,90634,5.497,2.64321608,18.19174095,388,37613724,1728.873169
16-Apr-13,10100,10135,9956,10074,111744,5.43,2.61068096,18.41620626,228,17384650,1750.418925
17-Apr-13,10150,10150,9385,9918,211765,5.515,2.6517443,18.13236627,678,32917709,1723.312974
18-Apr-13,9974,10039,9952,10000,4555,5.47,2.63,18.28153565,29,2900617,1737.560974
19-Apr-13,10000,10000,9900,9980,93314,5.481,2.63527054,18.24484583,181,13654361,1734.085852
22-Apr-13,10000,10000,9862,10000,61737,5.47,2.63,18.28153565,225,9390843,1737.560974
23-Apr-13,9950,10100,9932,10000,165880,5.47,2.63,18.28153565,386,41732452,1737.560974
24-Apr-13,10091,10091,9940,10000,182081,5.47,2.63,18.28153565,447,100768325,1737.560974
25-Apr-13,10050,10050,9821,10040,217100,5.448,2.61952191,18.35535977,426,25976650,1744.511218
26-Apr-13,9957,10040,9739,10031,16516,5.453,2.62187219,18.33852925,117,1798063,1742.947413
29-Apr-13,10000,10060,9899,10040,196998,5.448,2.61952191,18.35535977,266,23449547,1744.511218
30-Apr-13,9947,10051,9901,10040,71150,5.448,2.61952191,18.35535977,302,9688936,1744.511218
1-May-13,10040,10040,10040,10040,0,5.448,2.619522,18.35535977,-,-,1744.511218
2-May-13,10060,10060,9999,9999,53071,5.471,2.63026302,18.27819411,171,6856036,1737.387218
3-May-13,9965,10060,9965,10060,108619,5.437,2.61431411,18.39249586,266,12713939,1747.98634
6-May-13,10060,10084,9994,10060,113615,5.437,2.61431411,18.39249586,236,18059598,1747.98634
7-May-13,10060,10186,10020,10100,114872,5.416,2.60396039,18.46381093,370,21327722,1754.936584
8-May-13,10150,10453,10149,10450,146560,5.234,2.51674641,19.10584639,399,22871623,1815.751218
9-May-13,10346,10488,10346,10470,245226,5.224,2.51193887,19.1424196,534,40491604,1819.22634
10-May-13,10449,10479,10419,10440,201414,5.239,2.51915708,19.08761214,300,24764760,1814.013657
13-May-13,10500,10500,10390,10390,20304,5.265,2.53128007,18.99335233,96,2649311,1805.325852
14-May-13,10380,10470,10380,10436,298317,5.241,2.52012265,19.08032818,684,52738661,1813.318632
15-May-13,10364,10445,10301,10351,17830,5.285,2.54081731,18.92147588,68,1876348,1798.549364
16-May-13,10300,10399,10300,10350,127226,5.285,2.5410628,18.92147588,56,13285601,1798.375608
17-May-13,10350,10400,10274,10300,35556,5.311,2.55339805,18.82884579,183,5425693,1789.687803
20-May-13,10400,10400,10198,10250,72394,5.337,2.56585365,18.73711823,258,7548478,1780.999998
21-May-13,10374,10374,10299,10370,90287,5.275,2.536162,18.95734597,245,10706065,1801.85073
22-May-13,10370,10475,10350,10450,265065,5.234,2.51674641,19.10584639,276,28308101,1815.751218
23-May-13,10431,10475,10101,10470,71636,5.224,2.51193887,19.1424196,193,9689904,1819.22634
24-May-13,10402,10501,10210,10470,136303,5.224,2.51193887,19.1424196,369,21428322,1819.22634
27-May-13,10500,10501,10450,10500,158024,5.21,2.5047619,19.19385797,228,19607152,1824.439023
28-May-13,10500,10710,10430,10522,249011,5.199,2.4995248,19.23446817,490,26559976,1828.261657
29-May-13,10581,10946,10450,10550,201699,5.185,2.49289099,19.28640309,261,41703258,1833.126828
30-May-13,10557,10945,10482,10564,323788,5.178,2.48958727,19.31247586,320,38363488,1835.559413
31-May-13,10850,11298,10684,11100,333067,4.928,2.36936936,20.29220779,685,46415403,1928.692681
3-Jun-13,11140,11262,11056,11110,117959,4.923,2.36723672,20.31281739,374,15588468,1930.430242
4-Jun-13,11164,11200,11160,11175,67578,4.895,2.35346756,20.42900919,274,8309666,1941.724388
5-Jun-13,11220,11280,11050,11069,45685,4.942,2.37600505,20.23472278,159,5609635,1923.306242
6-Jun-13,11070,11070,10820,10970,296106,4.986,2.39744758,20.05615724,98,32555542,1906.104388
7-Jun-13,10970,11006,10721,10800,270045,5.065,2.43518518,19.74333662,382,47320734,1876.565851
10-Jun-13,10801,10980,10754,10884,183401,5.026,2.41639103,19.896538,73,20071432,1891.161363
11-Jun-13,10979,11049,10455,10654,73631,5.134,2.46855641,19.47798987,133,8439912,1851.197461
12-Jun-13,10645,11050,10645,11050,23657,4.95,2.38009049,20.2020202,67,9291476,1920.004876
13-Jun-13,10971,11050,10750,11050,520788,4.95,2.38009049,20.2020202,1019,63331628,1920.004876
14-Jun-13,11050,11100,10946,10965,136123,4.989,2.39854081,20.04409701,226,17443056,1905.235608
17-Jun-13,10965,10965,10965,10965,0,4.989,2.398541,20.04409701,-,-,1905.236
18-Jun-13,11025,11361,11025,11250,233052,4.862,2.33777777,20.56766763,327,29587016,1954.756498
19-Jun-13,11306,11490,11140,11360,168618,4.815,2.31514084,20.76843198,335,22588056,1973.869673
20-Jun-13,11370,11370,10800,10800,98769,5.065,2.43518518,19.74333662,342,12502649,1876.566238
21-Jun-13,10800,11349,10799,11321,257271,4.832,2.32311633,20.69536424,933,47659187,1967.093183
24-Jun-13,11209,11349,10873,11000,58616,4.973,2.39090909,20.10858637,212,7201054,1911.317464
25-Jun-13,11400,11600,10900,10950,163286,4.995,2.40182648,20.02002002,220,19775478,1902.629657
26-Jun-13,10999,11170,10900,10900,825424,5.018,2.41284403,19.92825827,125,92316411,1893.94185
27-Jun-13,10980,11190,10583,11050,395465,4.95,2.38009049,20.2020202,195,44563944,1920.00527
28-Jun-13,10921,11450,10921,11450,133722,4.777,2.29694323,20.93364036,268,30312137,1989.507723
1-Jul-13,11458,11700,11303,11698,112581,4.676,2.24824756,21.38579983,382,13046344,2032.599244
2-Jul-13,11776,11776,11584,11689,15546,4.68,2.24997861,21.36752137,57,3417387,2031.035439
3-Jul-13,11665,11700,11476,11633,104419,4.702,2.26080976,21.26754573,300,12969046,2021.305096
4-Jul-13,11630,11680,11511,11621,10713,4.707,2.2631443,21.24495432,36,1246848,2019.220022
5-Jul-13,11495,11679,11111,11362,139372,4.814,2.31473332,20.77274616,519,18757740,1974.217184
8-Jul-13,11974,11974,11502,11590,214019,4.72,2.26919758,21.18644068,426,25469628,2013.833582
9-Jul-13,11699,11700,11500,11550,54740,4.736,2.27705627,21.11486486,145,6983030,2006.883337
10-Jul-13,11550,11699,11550,11600,47603,4.716,2.26724137,21.20441052,197,5801877,2015.571144
11-Jul-13,11621,11699,11536,11541,16396,4.74,2.27883199,21.09704641,62,2160147,2005.319532
12-Jul-13,11880,11880,11501,11631,179883,4.703,2.26119852,21.2630236,359,22043274,2020.957584
15-Jul-13,11660,11701,11660,11700,49907,4.675,2.24786324,21.39037433,133,6343665,2032.946757
16-Jul-13,11720,11999,11720,11900,214377,4.597,2.21008403,21.75331738,401,28746551,2067.697984
17-Jul-13,12000,12000,11936,12000,86826,4.558,2.19166666,21.93944713,196,14168956,2085.073597
18-Jul-13,12140,12185,11750,11950,195254,4.577,2.20083682,21.8483723,916,25556495,2076.38579
19-Jul-13,12048,12280,11580,11925,165178,4.587,2.20545073,21.80074123,323,20335835,2072.041887
22-Jul-13,11999,12000,11751,11955,162655,4.575,2.19991635,21.8579235,284,19456411,2077.254571
23-Jul-13,11980,11995,11850,11975,30573,4.568,2.19624217,21.89141856,125,3811015,2080.729694
24-Jul-13,12100,12100,11701,11800,44548,6.381,2.45762711,15.67152484,218,9866146,2050.322371
25-Jul-13,11800,12048,11406,11643,83696,6.467,2.49076698,15.46312046,465,11506108,2023.042658
26-Jul-13,11756,11800,11554,11710,158072,6.43,2.47651579,15.55209953,204,19034642,2034.684319
29-Jul-13,11799,11799,11650,11763,96000,6.401,2.46535747,15.62255898,205,14039186,2043.893394
30-Jul-13,11753,11970,11750,11913,627681,6.321,2.43431545,15.8202816,343,77281557,2069.956814
31-Jul-13,11805,11873,11676,11676,118542,6.449,2.4837273,15.50628004,451,23335231,2028.77661
1-Aug-13,11750,11979,11581,11650,279078,6.464,2.48927038,15.47029703,729,37419164,2024.258951
2-Aug-13,11799,11799,11678,11770,241288,6.398,2.46389124,15.62988434,156,28990544,2045.109687
5-Aug-13,11785,11912,11690,11830,167980,6.365,2.45139475,15.71091909,505,26607448,2055.535055
6-Aug-13,11830,11830,11720,11770,26092,6.398,2.46389124,15.62988434,101,3201573,2045.109687
7-Aug-13,11931,11931,11606,11815,106595,6.373,2.45450698,15.69119724,391,14423027,2052.928713
8-Aug-13,11850,11861,11716,11800,1011256,6.381,2.45762711,15.67152484,227,143887445,2050.322371
9-Aug-13,11800,11800,11800,11800,0,6.381,2.457627,15.67152484,-,-,2050.322
12-Aug-13,11801,11920,11737,11763,18878,6.401,2.46535747,15.62255898,91,2409721,2043.893024
13-Aug-13,11763,11822,11730,11764,202449,6.401,2.4651479,15.62255898,280,26898168,2044.06678
14-Aug-13,11867,11975,11779,11898,85946,6.329,2.43738443,15.80028441,194,10166120,2067.350098
